url_length,domain_length,num_dots,num_hyphens,num_digits,num_special_chars,has_https,has_ip,has_at_symbol,num_subdomains,label
44,13,4,1,10,0,0,1,0,2,1
37,25,2,1,2,1,0,0,1,1,1
33,16,2,0,0,0,1,0,0,1,0
41,33,5,0,2,0,1,0,0,4,1
65,14,1,2,8,4,0,0,0,0,1
44,13,4,1,10,0,0,1,0,2,1
27,14,2,0,0,0,1,0,0,1,0
43,27,2,0,0,0,1,0,0,1,0
46,14,4,1,11,0,0,1,0,2,1
56,8,1,2,8,4,1,0,0,0,1
28,15,2,0,0,0,1,0,0,1,0
24,11,2,0,0,0,1,0,0,1,0
47,29,2,3,0,0,0,0,0,0,1
45,38,5,0,0,0,0,0,0,4,1
25,11,1,0,0,0,1,0,0,0,0
49,12,4,1,9,0,0,1,0,2,1
37,16,2,0,0,0,1,0,0,1,0
37,15,3,0,0,0,1,0,0,1,0
49,14,2,0,0,0,1,0,0,1,0
39,26,2,1,1,1,1,0,1,1,1
44,14,4,1,11,0,1,1,0,2,1
59,11,1,2,8,4,0,0,0,0,1
42,34,5,0,0,0,1,0,0,4,1
52,39,2,1,0,1,1,0,1,1,1
23,9,1,0,0,0,1,0,0,0,0
49,14,2,0,0,0,1,0,0,1,0
25,11,2,0,0,0,1,0,0,1,0
48,30,2,3,1,0,0,0,0,0,1
43,30,2,1,2,1,1,0,1,1,1
19,11,1,0,0,0,1,0,0,0,0
52,14,2,0,4,5,1,0,0,1,0
36,23,2,1,0,1,1,0,1,1,1
45,14,4,1,11,0,1,1,0,2,1
62,11,1,2,9,4,1,0,0,0,1
66,17,1,2,10,4,0,0,0,0,1
41,28,2,1,2,1,1,0,1,1,1
49,36,2,1,1,1,1,0,1,1,1
43,25,2,3,1,0,0,0,0,0,1
60,10,1,2,8,4,0,0,0,0,1
38,16,3,0,0,0,1,0,0,1,0
20,8,1,0,0,0,0,0,0,0,0
25,12,1,0,1,0,0,0,0,0,1
47,39,5,0,0,0,1,0,0,4,1
26,11,1,0,1,0,0,0,0,0,1
26,18,2,0,0,0,1,0,0,1,0
49,31,2,3,0,0,0,0,0,0,1
34,18,2,0,0,0,1,0,0,1,0
50,15,2,0,0,0,1,0,0,1,0
42,35,5,0,2,0,0,0,0,4,1
28,14,1,0,1,0,0,0,0,0,1
44,36,5,0,3,0,1,0,0,4,1
39,26,2,1,1,1,1,0,1,1,1
50,32,2,3,1,0,0,0,0,0,1
26,18,2,0,0,0,1,0,0,1,0
40,18,3,0,0,0,1,0,0,1,0
48,30,2,3,1,0,0,0,0,0,1
32,16,2,0,0,0,1,0,0,1,0
34,26,2,0,0,0,1,0,0,1,0
39,18,2,0,0,0,1,0,0,1,0
27,14,2,0,0,0,1,0,0,1,0
50,32,2,3,0,0,0,0,0,0,1
16,9,1,0,0,0,0,0,0,0,0
52,14,2,0,3,5,1,0,0,1,0
46,39,5,0,3,0,0,0,0,4,1
38,16,2,0,0,2,1,0,0,1,0
36,15,2,0,0,0,1,0,0,1,0
34,17,2,0,0,0,1,0,0,1,0
47,39,5,0,1,0,1,0,0,4,1
61,10,1,2,10,4,1,0,0,0,1
43,17,2,0,4,0,1,0,0,1,0
58,8,1,2,12,4,1,0,0,0,1
34,18,2,0,0,0,1,0,0,1,0
48,13,4,1,10,0,1,1,0,2,1
34,18,2,0,0,0,1,0,0,1,0
46,39,5,0,1,0,0,0,0,4,1
45,12,4,1,9,0,0,1,0,2,1
45,27,2,3,1,0,0,0,0,0,1
39,18,2,0,0,0,1,0,0,1,0
29,16,1,1,0,0,0,0,0,0,1
46,33,2,1,2,1,1,0,1,1,1
34,13,2,0,0,0,1,0,0,1,0
29,13,1,0,0,0,1,0,0,0,0
44,32,2,1,2,1,0,0,1,1,1
30,14,2,0,0,0,1,0,0,1,0
30,16,2,0,0,0,1,0,0,1,0
60,11,1,2,7,4,0,0,0,0,1
45,14,4,1,11,0,0,1,0,2,1
41,19,3,0,0,0,1,0,0,1,0
37,25,2,1,1,1,0,0,1,1,1
47,14,4,1,11,0,0,1,0,2,1
51,33,2,3,1,0,0,0,0,0,1
62,14,1,2,6,4,0,0,0,0,1
32,18,2,0,0,0,1,0,0,1,0
45,31,3,0,0,0,1,0,0,2,0
33,20,2,0,0,0,1,0,0,1,0
24,9,1,0,1,0,1,0,0,0,1
50,32,2,3,0,0,0,0,0,0,1
41,34,5,0,1,0,0,0,0,4,1
20,11,2,0,0,0,1,0,0,1,0
43,30,2,1,0,1,1,0,1,1,1
46,34,2,1,0,1,0,0,1,1,1
65,14,2,0,4,5,1,0,0,1,0
33,17,2,0,0,0,1,0,0,1,0
27,18,2,0,0,0,1,0,0,1,0
41,28,2,1,3,1,1,0,1,1,1
39,18,2,0,0,0,1,0,0,1,0
31,18,2,0,0,0,0,0,0,1,0
61,19,2,0,4,5,1,0,0,1,0
38,17,2,0,0,2,0,0,0,1,0
55,13,2,0,4,5,1,0,0,1,0
47,29,2,3,1,0,0,0,0,0,1
49,31,2,3,2,0,0,0,0,0,1
27,13,2,0,0,0,1,0,0,1,0
39,13,2,0,4,0,1,0,0,1,0
68,16,2,0,8,5,1,0,0,1,0
